DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ex1,1,Mk10,DS,7,0,3,22,15,22:29:02 27-May-2017,SR,1,35.5712,-74.6173,30.2743,-48.9607,58,,401677678,-124
ex1,1,Mk10,DS,2,0,2,20,20,22:29:19 27-May-2017,NK,B,35.1970,-76.7062,36.6616,-68.2403,6,,401677678,-135
ex1,1,Mk10,DS,8,0,3,18,15,00:07:30 28-May-2017,SR,0,35.5332,-74.5901,39.9660,-96.5531,68,,401677680,-121
ex1,1,Mk10,DS,2,0,1,78,78,01:18:36 28-May-2017,MB,B,35.3014,-74.7401,39.6942,-52.7308,8,,401677678,-132
ex1,1,Mk10,DS,1,0,1,,,02:58:25 28-May-2017,MB,,,,,,,,401650000,-134
ex1,1,Mk10,DS,4,0,2,44,21,07:38:20 28-May-2017,NP,1,35.4443,-74.5990,29.1498,-44.8891,68,,401677588,-127
ex1,1,Mk10,DS,2,0,1,18,18,11:04:32 28-May-2017,NN,B,35.3534,-74.4454,27.4227,-37.2574,8,,401677588,-133
ex1,1,Mk10,DS,5,0,4,32,19,14:20:44 28-May-2017,NN,0,35.7901,-74.6058,47.9254,-133.1261,58,,401677717,-135
ex1,1,Mk10,DS,9,0,5,22,16,14:21:08 28-May-2017,MA,0,32.1582,-60.7789,35.3269,-76.0088,58,,401677597,-125
ex1,1,Mk10,DS,6,0,6,59,19,19:01:20 28-May-2017,NP,0,35.3750,-74.6951,40.0107,-52.4921,56,,401677584,-125
ex1,1,Mk10,DS,3,0,3,38,26,23:48:35 28-May-2017,NK,A,35.2654,-74.7511,29.0636,-105.1474,8,,401677650,-131
ex1,1,Mk10,DS,8,0,6,26,16,01:45:14 29-May-2017,MA,1,35.4076,-74.6889,37.2026,-65.9521,58,,401677567,-114
ex1,1,Mk10,DS,5,0,4,31,19,03:24:50 29-May-2017,MA,0,35.2706,-74.9752,27.2574,-113.3870,66,,401677651,-122
